message_type,timestamp,ant_device_number,ant_network,ant_transmission_type,battery_status,battery_voltage,cum_operating_time,device_index,device_type,garmin_product,hardware_version,local_timestamp,manufacturer,number,sensor_position,serial_number,software_version,source_type,system_timestamp,time_created,type,unknown_0,unknown_1,unknown_13,unknown_15,unknown_16,unknown_17,unknown_2,unknown_23,unknown_24,unknown_253,unknown_29,unknown_3,unknown_30,unknown_31,unknown_32,unknown_4,unknown_7,unknown_8,unknown_9
file_id,,,,,,,,,,4644,,,garmin,,,3617778896,,,,2026-04-07 21:11:01,73,,,,,,,,,,,,,,,,,,,
file_creator,,,,,,,,,,,,,,,,,1637,,,,,,,,,,,,,,,,,,,,,,,
device_info,2026-04-07 21:11:01,,,,,,,,,4644,,,garmin,,,3617778896,16.37,,,,,,,,,,,,,,,"(None, None, None, None, None, None)",,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8779640197753906,,,,,,,,1144514281,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8933563232421875,,,,,,,,1144514461,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.0633583068847656,,,,,,,,1144514641,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.9780502319335938,,,,,,,,1144514821,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.0828781127929688,,,,,,,,1144515001,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.1155967712402344,,,,,,,,1144515181,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.1970672607421875,,,,,,,,1144515361,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.1408729553222656,,,,,,,,1144515541,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.1857757568359375,,,,,,,,1144515721,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.2644271850585938,,,,,,,,1144515901,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.3288307189941406,,,,,,,,1144516081,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.5996627807617188,,,,,,,,1144516261,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.2352867126464844,,,,,,,,1144516441,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.1358528137207031,,,,,,,,1144516621,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.0255088806152344,,,,,,,,1144516801,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.9850997924804688,,,,,,,,1144516981,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.9530220031738281,,,,,,,,1144517161,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.9857368469238281,,,,,,,,1144517341,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.0017776489257812,,,,,,,,1144517521,,,,,,,,,
